Congregation,Address,Municipal Entity,Denomination,Size,Email,Phone Number,Website,
Bethel African Methodist Episcopal,"900 John A Woods Dr, Ann Arbor, MI 48105",Ann Arbor,,,office@bethelameannarbor.org,(734) 663-3800,https://bethelameannarbor.org/,Ann Arbor
Brown Chapel AME Church,"1043 W Michigan Ave, Ypsilanti, MI 48197",Ypsilanti,,,brownchapel@bcamecy.org,(734) 482-7050,https://www.bcamecy.org/,Augusta
Campbell Chapel African Methodist Episcopal,"10673 Whittaker Rd, Ypsilanti, MI 48197",Ypsilanti,,,,,no website,Barton Hills
Pineview Church,"6400 Textile Rd, Ypsilanti Township, MI 48197",Ypsilanti,,,,,https://mypineview.org/,Bridgewater
Cathedral of Deliverance (Ypsilanti),"580 1st Ave, Ypsilanti MI, 48197",Ypsilanti,,,,,no website,Chelsea
Messias Temple Church," 200 Harriet St, Ypsilanti, MI 48197",Ypsilanti,,,,,https://messiastemple.org/,Freedom
New Grace Apostolic Temple,"2898 Packard St, Ann Arbor, MI 48108",Ann Arbor,,,,,https://www.newgrace.org/,Lima
Solid Rock Church (423 S 4th Ave),"423 S 4th Ave, Ann Arbor, MI 48104",Ann Arbor,,,,,https://www.solidrockcity.org/,Lodi
Ann Arbor Assembly of God,"2455 Washtenaw Ave, Ann Arbor, MI 48104",Ann Arbor,,,,,https://www.a3og.com/,Lyndon
Community Christian Assembly of God,"613 Martin Pl, Ypsilanti, MI 48198",Ypsilanti ,,,,,http://www.ccagypsi.org/,Manchester
The Assembly Saline,"300 Old Creek Dr, Saline, MI 48176",Saline,,,,,no website,Milan
First Assembly of God Chelsea,"14900 E Old US Hwy 12, Chelsea, MI 48118",Chelsea,,,,,no website (facebook: https://www.facebook.com/ChelseaFirstAG/?_rdr),Northfield
King of Love University Church,"514 St Johns St, Ypsilanti, MI 48197",Ypsilanti,,,,,no website,Pittsfield
Summit International Assembly of God,"2118 Ann Arbor-Saline Rd, Ann Arbor, MI 48103",Ann Arbor,,,,,https://www.summitannarbor.com/,Salem
Ypsilanti Assembly of God,"701 Holmes Rd, Ypsilanti, MI 48198",Ypsilanti,,,,,https://ypsiag.com/,Saline
Ann Arbor Baptist Church,"2150 S Wagner Rd, Ann Arbor, MI 48103",Ann Arbor,,,,,https://www.aabaptist.church/,Scio
Ann Arbor Chinese Christian Church,"1750 Dhu Varren Rd, Ann Arbor, MI 48105",Ann Arbor,,,,,https://www.aaccc.org/,Sharon
Briarwood Baptist,"7950 Warren Rd, Ann Arbor, MI 48105",Ann Arbor,,,,(919) 451-7952,https://www.briarwood-church.org/,Sylvan
Christian Tabernacle Baptist,"983 E Michigan Ave, Ypsilanti, MI 48198",Ypsilanti,,,,(734) 480-4470,no website,
Crossroads Community Baptist Church,"2580 Packard St, Ann Arbor, MI 48104",Ann Arbor,,,office@crossroadsa2.org,(734) 971-0773,https://www.crossroadsa2.org/,
